Nthfibo,T(rec),T(iteration)
0,0.049,0.001
1,0.002,0
1,0.002,0
2,0.002,0.001
3,0.001,0
5,0.002,0.001
8,0.001,0.001
13,0.002,0.001
21,0.002,0.002
34,0.002,0.001
55,0.003,0.001
89,0.004,0.001
144,0.005,0.001
233,0.008,0.001
377,0.012,0
610,0.019,0
987,0.03,0.001
1597,0.047,0.001
2584,0.074,0.001
4181,0.118,0.001
6765,0.19,0.001
10946,0.339,0.001
17711,0.497,0.001
28657,0.802,0.001
46368,1.297,0.001
75025,1.972,0
121393,3.056,0.001
196418,3.855,0
317811,6.029,0
514229,9.303,0.001
832040,13.973,0.001
1346269,19.124,0.001
2178309,20.32,0
3524578,33.438,0.001
5702887,53.495,0
9227465,86.057,0
14930352,139.198,0
24157817,225.844,0.001
39088169,369.504,0.001
63245986,626.796,0
102334155,990.608,0
165580141,1601.2,0.001
267914296,2519.4,0.001
433494437,4050.82,0
701408733,6622.49,0.002
